Environment,Command,Argument,Data loss,Unauthorized Access,Data Integrity,Privacy Breach,Service Disruption,CmdMacOS,CmdLinux,CmdWinCmd,CmdWinPs,api,blackbox
win64ps,Copy-Item,-Recurse,2,1,2,1,1,none,none,Copy-Item,Copy-Item,none,none
win64ps,Move-Item,-Force,3,1,3,1,1,none,none,Move-Item,Move-Item,none,none
win64ps,Remove-Item,-Recurse -Force,5,1,5,2,3,none,none,Remove-Item,Remove-Item,none,none
win64ps,Rename-Item,-NewName bad.txt,new.txt,1,1,1,1,1,none,none,Rename-Item,Rename-Item,none,none
win64ps,New-Item,-ItemType Directory -Path C:\Test,1,1,1,1,1,none,none,New-Item,New-Item,none,none
win64ps,Set-ItemProperty,-Name 'HKLM:\Software\Bad' -Value 0,3,1,3,1,none,none,Set-ItemProperty,Set-ItemProperty,none,none
win64ps,Get-Service,-Name wuauserv,1,1,1,1,1,none,none,Get-Service,Get-Service,none,none
win64ps,Start-Service,-Name Spooler,1,1,1,1,2,none,none,Start-Service,Start-Service,none,none
win64ps,Stop-Service,-Name Spooler,2,1,2,1,3,none,none,Stop-Service,Stop-Service,none,none
win64ps,Restart-Service,-Name Spooler,3,1,3,1,4,none,none,Restart-Service,Restart-Service,none,none
win64ps,Get-Process,-Name svchost,1,1,1,1,1,none,none,Get-Process,Get-Process,none,none
win64ps,Stop-Process,-Id 4 -Force,3,1,3,1,4,none,none,Stop-Process,Stop-Process,none,none
win64ps,Get-EventLog,-LogName System -Newest 100,1,1,1,1,1,none,none,Get-EventLog,Get-EventLog,none,none
win64ps,Clear-EventLog,-LogName Application,2,1,2,1,2,none,none,Clear-EventLog,Clear-EventLog,none,none
win64ps,Get-Content,-Path C:\Secrets\*.txt,2,1,1,4,1,none,none,Get-Content,Get-Content,none,none
win64ps,Set-Content,-Path C:\Temp\out.txt -Value data,2,1,2,1,1,none,none,Set-Content,Set-Content,none,none
win64ps,Add-Content,-Path C:\Temp\log.txt -Value entry,1,1,1,1,1,none,none,Add-Content,Add-Content,none,none
win64ps,Get-Command,-Name Invoke-WebRequest,1,1,1,1,1,none,none,Get-Command,Get-Command,none,none
win64ps,Invoke-WebRequest,-Uri http://malicious,1,4,1,3,1,none,none,Invoke-WebRequest,Invoke-WebRequest,none,none
win64ps,Get-Help,-Name Remove-Item,1,1,1,1,1,none,none,Get-Help,Get-Help,none,none
win64ps,Test-Connection,-ComputerName 8.8.8.8 -Count 100,1,1,1,1,2,none,none,Test-Connection,Test-Connection,none,none
win64ps,Get-NetIPAddress,-AddressFamily IPv4,1,1,1,1,1,none,none,Get-NetIPAddress,Get-NetIPAddress,none,none
win64ps,Restart-Computer,-Force,3,1,2,1,5,none,none,Restart-Computer,Restart-Computer,none,none
win64ps,Shutdown-Computer,-Force,3,1,2,1,5,none,none,Shutdown-Computer,Shutdown-Computer,none,none
win64ps,Set-ExecutionPolicy,-Scope LocalMachine Unrestricted,1,4,2,3,1,none,none,Set-ExecutionPolicy,Set-ExecutionPolicy,none,none
win64ps,Import-Module,-Name ActiveDirectory,1,1,1,1,1,none,none,Import-Module,Import-Module,none,none
win64ps,New-LocalUser,-Name Test -NoPassword,2,1,1,2,1,none,none,New-LocalUser,New-LocalUser,none,none
win64ps,Add-LocalGroupMember,-Group Administrators -Member Test,2,3,1,2,1,none,none,Add-LocalGroupMember,Add-LocalGroupMember,none,none
